f.rows,f.columns,f.values
3,1,7.40188E-05
4,1,0.000034618
5,1,0.000022775
6,1,1.52593E-05
7,1,1.59425E-06
9,1,2.2775E-06
16,1,2.2775E-06
18,1,6.8325E-07
3,2,1.46205E-05
5,2,0.000694473
6,2,0.000368472
7,2,1.46205E-05
8,2,1.46205E-05
11,2,1.46205E-05
10,3,0.043742525
12,3,0.10343835
15,3,0.001834664
17,3,0.001834664
18,3,0.012695875
19,4,0.07793555
20,4,0.024205518
21,4,0.011407198
12,5,0.18450675
14,5,0.0410015
17,5,0.0246009
19,5,0.14924545
20,5,0.010455383
10,6,0.03321605
11,6,0.003019465
12,6,0.23853775
13,6,0.054348825
14,6,0.034092225
15,6,0.0325206
17,6,0.007253665
18,6,0.01781434
19,6,0.03623255
20,6,0.016925223
23,6,0.012199348
25,6,0.012561705
20,7,0.0000256
23,7,0.000177371
24,7,0.000828343
25,7,0.017208688
12,8,0.015595992
13,8,0.022874122
14,8,0.005571106
15,8,0.004096858
17,8,0.0232776
18,8,0.00310368
19,8,0.020530843
20,8,0.025636397
21,8,0.00310368
5,9,0.000151052
6,9,0.001063748
9,9,0.000242534
10,9,0.000710584
14,9,7.23348E-05
15,9,0.000853126
16,9,0.004927279
17,9,0.00021275
18,9,0.009614152
24,9,0.000848871
26,9,0.000425499
30,9,0.002129623
10,10,0.022768482
12,10,0.276067831
14,10,0.056921205
15,10,0.278913878
16,10,0.202070291
17,10,0.085609469
18,10,0.156533327
19,10,0.024248433
20,10,0.01223806
21,10,0.000284606
23,10,0.022768482
12,11,0.004044179
14,11,0.003815263
15,11,0.003815263
19,11,0.042940791
20,11,0.057298883
21,11,0.002543509
23,11,0.001271755
19,12,1.19634515
20,12,4.56291946
21,12,4.12788486
19,13,1.04989873
20,13,0.60711659
21,13,1.51238786
12,14,0.257848551
14,14,0.006603037
15,14,0.128098933
17,14,0.252566147
18,14,0.086499763
19,14,1.12829368
20,14,0.61820949
21,14,0.010895009
23,14,0.475418586
24,14,0.099045552
25,14,0.16507592
26,14,0.069992171
15,15,0.028173629
17,15,0.054499794
19,15,2.10378465
20,15,1.17082194
21,15,0.181512068
23,15,0.65676858
24,15,0.057732847
25,15,0.061427742
26,15,0.30390571
12,16,0.071079572
13,16,0.059718492
14,16,0.017187269
15,16,0.095840907
16,16,0.028929971
17,16,0.62048955
18,16,0.073992664
19,16,0.384820174
20,16,0.249069843
21,16,0.178572847
23,16,0.224496552
24,16,0.415407693
25,16,0.083897198
26,16,0.388024607
19,17,0.9491292
20,17,0.9491292
21,17,0.3796516
23,17,0.7593032
24,17,0.3796516
26,17,0.3796516
29,17,0.3796516
30,17,3.4168644
12,18,0.0987666
13,18,0.14814988
14,18,0.0987666
15,18,0.0987666
17,18,0.1975332
18,18,0.04938328
19,18,0.0987666
20,18,0.0987666
21,18,0.0987666
20,19,60.8286808
21,19,128.5841168
22,19,14.9160024
22,20,15.22689168
27,20,2.70862977
28,20,483.087843
29,20,111.2734392
30,20,119.7653716
22,21,5.9337684
28,21,83.9453706
29,21,179.374326
30,21,79.7917236
27,22,3.4258488
29,22,100.4500356
30,22,103.7513156
19,23,0.8688
20,23,1.1584
21,23,0.2896
22,23,0.8688
23,23,0.2896
24,23,0.2896
26,23,2.896
28,23,3.4752
29,23,1.1584
30,23,17.6656
19,24,0.40788
20,24,0.31724004
21,24,0.09064
22,24,0.27192
23,24,0.9064
24,24,0.09064
25,24,0.9064
26,24,1.3596
28,24,0.72512
29,24,0.27192
30,24,3.7162404
19,25,1.0861516
20,25,0.6516908
22,25,1.0861516
28,25,2.606764
29,25,1.0861516
30,25,15.206124
19,26,0.67
20,26,0.67
22,26,0.67
23,26,0.67
24,26,0.67
25,26,0.67
26,26,0.67
28,26,14.74
29,26,3.35
30,26,44.22
30,27,73.186
1,30,0.0000463
2,30,0.000413598
3,30,0.04663785
4,30,0.032834125
5,30,0.08291485
6,30,0.121062625
7,30,0.003676385
8,30,0.01275836
9,30,0.002568733
10,30,0.111407525
11,30,0.011143368
12,30,0.983613
13,30,0.30871025
14,30,0.32060525
15,30,0.4541645
16,30,0.27865575
17,30,0.98306025
18,30,0.258323
19,30,14.2313925
20,30,27.205125
21,30,35.279025
22,30,13.1129025
23,30,9.4605225
24,30,2.5174325
25,30,5.4918875
26,30,21.4496125
27,30,33.07565
28,30,13.96293
29,30,94.061
